Precio,Expensas,Direccion,Ambientes,Tipo,Url,Descripcion
Consulte,,"42  N°1027 e/ 15 y 16 > La Loma, La Plata (Casco Urbano), Pdo. de La Plata  ", 1 Dorm,Departamento en Alquiler ,https://www.inmobusqueda.com.ar/ficha.verdestacado.php?id=486643&pos=1&ppv=37513&lp=0&hash=c4b829bb710681cb815bb554801d12fcfc31142c&rd=790608601,"42 Y 15.- OTROS (23/38)C/BALCON,(32/9RESERVADO),(35/20)C/COCHERA,(43/12RESERVADO),(57/10)MONOAMBIENTE,(59/19)C/BALCON Y C/COCHERA(ALQUILERES DE 1DORMITORIO..."
Consulte,,"21  N°415 e/ 40 y 41 > La Loma, La Plata (Casco Urbano), Pdo. de La Plata  ", 1 Dorm,Departamento en Alquiler ,https://www.inmobusqueda.com.ar/ficha.verdestacado.php?id=488224&pos=2&ppv=37512&lp=0&hash=5cb8a7dd0d14dfb94136729c3bb0134f587ddd9d&rd=953354051,"21 Y 40 ALQUILER DEPARTAMENTO Pb interno, living comedor, cocina, dormitorio con placars, baño y patio con lavadero, valor ($ CONSULTE) expensas bajas ..."
280000,,"1  N°1311 e/ 59 y 60 > La Plata (Casco Urbano), Pdo. de La Plata  ", 1 Dorm,Departamento en Alquiler ,https://www.inmobusqueda.com.ar/ficha.verdestacado.php?id=402215&pos=3&ppv=31750&lp=0&hash=e8ef87842327578fa558e722cc833ea1aa0b00bd&rd=1189332599,"MONICA BIANCHINI BIENES RAICES ALQUILA DEPTO de 1 DORMITORIO, cocina separada, baño completo con bañera, ventilación natural y lavadero cubierto. El ambie..."
250000,,"53  e/ 11 y 12 > Plaza Moreno, La Plata (Casco Urbano), Pdo. de La Plata  ", Monoamb,Monoambiente en Alquiler ,https://www.inmobusqueda.com.ar/ficha.verdestacado.php?id=489122&pos=4&ppv=30250&lp=0&hash=13c59833292541350a0971305ee45cb33be0d763&rd=1879581367,Monoambiente al frente. Cocina separada con Lavadero. Baño completo Consultas al 2215446919
520000,,"7  N°336 e/ 38 y 39 > Barrio Norte, La Plata (Casco Urbano), Pdo. de La Plata  ", 1 Dorm,Departamento en Alquiler ,https://www.inmobusqueda.com.ar/ficha.verdestacado.php?id=488805&pos=5&ppv=29041&lp=0&hash=26f56602e19d4826a8fd9b6959aab9cd0d657367&rd=57162361,"Departamento al frente de 1 dormitorio, posee calefaccion por radiadores, split frio calor en el estar comedor. 1 dormitorio con placard completo y baño. ..."
Consulte,,8  e/ 42 y 43   , Monoamb,"Edificio en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-480905,"Waingortin Servicios Inmobiliarios ALQUILA !! Importante edificio de planta baja, mas 3 pisos y terraza. En planta baja se encuentra un gran salón c..."
95000,3000,32  N°24 e/ 163 y 164   , 1 Dorm,"Departamento en   Melchor Romero, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488560,Se alquila Departamento de un dormitorio en segundo piso por escalera dentro de complejo. (el complejo no posee el servicio de gas. El departamento no vi...
150000,6500,608  N°873 e/ 12 y 13   , Monoamb,"Departamento en   Aeropuerto, Villa Elvira, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-482044,"MONOAMBIENTE EN ALQUILER, POSEE COCINA Y BAÑO. TERRAZA COMPARTIDA. NO SE PERMITEN MASCOTAS."
150000,12000,10  N°1521 e/ 63 y 64   , Monoamb,"Departamento en   Zona Universidades Centro, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-484082,"Planta baja frente, ambiente chico con cocina incorporada baño. PRECIO: $ 150.000 + absa , contrato por 2 años, ajuste trimestral por I.C.L. GASTOS Y..."
160000,,1  y 75    , Monoamb,"Departamento en   Villa Elvira, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-485316,MONOAMBIENTE EN ALQUILER ubicado en AV. 1 Y 75 25 mts2 aprox. espacio amplio cocina con bar...
160000,,26  e/ 34 y 35   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486932,26 e/ 34 y 35 monoambiente a la calle en planta baja. Totalmente independiente.
160000,9000,3  N°567 e/ 43 y 44   , 1 Dorm,"Departamento en   Terminal de Omnibus, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-485604,"Departamento planta baja interno, compuesto de: cocina comedor, mesada con pileta, mueble bajo mesada, artefacto de cocina, termotanque, dormitorio, baño, ..."
160000,,607  e/ 11 bis y 12   , 1 Dorm,"Departamento en   Aeropuerto, Villa Elvira, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-312380,"Departamento interno, planta baja, un dormitorio, cocina comedor y patio. Servicios compartidos.-"
170000,25000,58  e/ 7 y 8   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488409,DEPARTAMENTO MONOAMBIENTE EN ALQUILER EXCELENTE UBICACIÓN ZONA UNIVERSITARIA
170000,,115  y 92    , 2 Dorm,"PH en   Aeropuerto, Villa Elvira, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-465642,"Departamento A ESTRENAR PA de 2 Dormit con cocina comedor integral, baño completo, PB patio común."
170000,,31  N°873 e/ 49 y 50   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486685,"MONOAMBIENTE UBICADO EN CALLE 131 E/ 49 Y 50. PLANTA BAJA Y AL FRENTE.- AMBIENTE con mesada, bacha y toilette.18 METROS CUBIERTOS. Sobre Avenida 131 de..."
180000,,(e) 117 Nro. 1733 entre 67 y 68 (pb° A)    , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-393989,"Monoambiente en planta baja.Cuenta con estar comedor, cocina y baño.Sin expensas. ABSA $1.000 aproximadamente.CONTRATO POR 2 AÑOS CON AJUS..."
180000,15000,29 n° 1233 Depto 115  e/  57 y 58    , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-465694,MONOAMBIENTE. MUY BUEN ESTADO. COCINA CON SPAR Y MUEBLES SOBRE Y BAJO MESADA. TERRAZA COMÚN. ASENSOR. SISTEMA DE CLIMATIZACIÓN POR TIRO BALAN...
180000,12000,78  bis  N°435 e/ 3 y 4   , Monoamb,"Departamento en   Barrio Monasterio, Villa Elvira, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-479405,"Monoambiente amplio, muy luminoso. Primer piso por escalera."
180000,,63  y 125    , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-114104,"MODESTO, IDEAL ESTUDIANTE! MONOAMBIENTE SIN EXPENSAS! CERCANO A UNIVERSIDADES!!!"
180000,,38 bis  e/ 136 y 137   , 1 Dorm,"Departamento en   San Carlos, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-481676,"Depto humilde sobre 38bis, cocina/comedor, habitación (no tiene ventanas el dormitorio), baño con entrada de auto al frente y lavadero afuera. Sin expensas..."
190000,,64  N°277 e/ 1 y 115   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486815,Monoambiente en 3er piso por escalera con baño completo. Alq mas exp.
190000,20000,9  N°1057 e/ 54 y 55   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-481534,"monoambiente, contrafrente luminoso con placard, cocina independiente con artefacto de cocina y termotanque. baño"
190000,,31  y 66    , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-483942,MONOAMBIENTE EN ALQUILER ubicado en 31 y 66 30 mts2 aprox. amplio y luminoso conexión p/lava...
190000,140000,122  y 42    , 1 Dorm,"Departamento en   Hipodromo, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488627,"DEPARTAMENTO EN ALQUILER, ZONA HIPODROMO, DE 1 DORMITORIO, BAÑO COMPLETO, COCINA INTEGRADA AL LIVING COMEDOR, PATIO Y FONDO VERDE. EN LAS EXPENSAS ESTAN..."
190000,35000,10  e/ 70 y 71   , Monoamb,"Departamento en   Parque Saavedra, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-368058,(10 e 70 y 71) Monoambiente amplio en 3° piso por escalera. Posibilidad de alquiler con recibos de sueldos. SIN garantía propietaria. No se cobra depósito....
Consulte,,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ", 1 Dorm,33  N°1545 e/ 25 y 26   ,https://www.inmobusqueda.com.ar/ficha-489455,"Dueño directo , sin comision, sin expensas , al frente primer piso por escalera , luminoso, Aire acondicionado colectivos cerca. 200.000 + Absa"
